#1.2													
20812	12												
Name	Description	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Polyp_1	Polyp_2	Polyp_3	Polyp_4	Polyp_5	Polyp_6
ABCB9	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	1.398681238	1.024152648	0.77788684	0.061391358
ABCC1	na	2.018114445	4.789889861	5.124500914	3.069652159	1.1129204	2.008205883	3.837842311	4.807766304	4.943001754	3.346080743	3.947811841	3.231316359
ABCC10	na	-0.30381365	4.500383244	1.954575913	3.069652159	1.1129204	2.008205883	4.385330107	3.643379486	3.273150356	2.609115148	0.77788684	2.86874628
ABCC11	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ABCC12	na	3.155617969	1.330458243	0.369613412	3.069652159	-0.472042101	3.593168384	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ABCC2	na	2.018114445	1.330458243	0.369613412	3.069652159	1.849885994	2.008205883	0.137402593	0.370360991	2.135646832	1.024152648	0.77788684	0.061391358
ABCC3	na	-0.30381365	1.330458243	1.954575913	3.069652159	-0.472042101	2.008205883	0.137402593	0.370360991	2.621073659	1.024152648	0.77788684	0.061391358
ABCC4	na	4.554167345	2.915420743	4.761930835	3.069652159	5.142667743	2.008205883	2.459330688	1.955323492	4.671699732	4.724592366	3.585241762	2.383319453
ABCC5	na	3.944113864	1.330458243	5.013469602	3.069652159	4.482154209	5.915096479	1.722365094	6.098281446	5.099120956	3.346080743	4.237318458	4.705247548
ABCC6	na	-0.30381365	1.330458243	3.829045031	3.069652159	-0.472042101	2.008205883	1.722365094	-1.214601509	-0.186281263	2.609115148	0.77788684	0.061391358
ABCC8	na	-0.30381365	2.915420743	2.691541507	3.069652159	1.849885994	5.467637502	2.459330688	2.244830109	2.983643738	1.024152648	3.585241762	1.646353859
ABCC9	na	3.603076946	1.330458243	0.369613412	3.069652159	3.61542074	2.008205883	0.137402593	2.244830109	-0.186281263	1.024152648	0.77788684	3.231316359
ABCD1	na	-0.30381365	2.915420743	1.954575913	3.069652159	1.849885994	2.008205883	2.944757515	4.211663245	2.621073659	1.024152648	3.099814934	3.231316359
ABCD2	na	2.503541272	1.330458243	0.369613412	3.069652159	4.051519855	2.008205883	1.722365094	-1.214601509	-0.186281263	1.024152648	2.36284934	2.86874628
ABCD3	na	6.972310756	6.756722997	6.252256461	3.069652159	8.272791736	5.178130885	7.235434676	7.047493336	5.879807927	6.516005744	7.977559184	7.445095651
ABCD4	na	2.503541272	4.137813165	4.617540926	4.65461466	2.335312821	2.008205883	5.809827935	5.553582815	4.06164625	3.83150757	3.099814934	3.968281954
